City,State,Type,Year,CrimePerCapita,Gini,HSPerc
Lynchburg,Virginia,Cities,2017,0.247249351,0.4342,0.884
Newport News,Virginia,Cities,2017,0.220097063,0.4496,0.9
Norfolk,Virginia,Cities,2017,0.081569395,0.4912,0.875
Portsmouth,Virginia,Cities,2017,0.420609884,0.4018,0.896
Richmond,Virginia,Cities,2017,0.08840326,0.5258,0.851
Suffolk,Virginia,Cities,2017,0.333622473,0.4468,0.881
Virginia Beach,Virginia,Cities,2017,0.154065231,0.4329,0.935
,Washington,State,2017,0.662998973,0.4561,0.913
Auburn,Washington,Cities,2017,0.635178739,0.3929,0.896
Bellevue,Washington,Cities,2017,1.043819544,0.4734,0.937
Bellingham,Washington,Cities,2017,1.128006136,0.4642,0.944
Everett,Washington,Cities,2017,0.54525627,0.409,0.899
Federal Way,Washington,Cities,2017,0.102026241,0.4415,0.873
Kent,Washington,Cities,2017,1.162880843,0.4146,0.845
Kirkland,Washington,Cities,2017,0.56244235,0.4849,0.971
Marysville,Washington,Cities,2017,0.580130529,0.3812,0.893
Pasco,Washington,Cities,2017,0.138607823,0.4025,0.767
Renton,Washington,Cities,2017,0.58553723,0.4165,0.901
Seattle,Washington,Cities,2017,3.077498908,0.4745,0.949
Spokane,Washington,Cities,2017,1.243861314,0.4597,0.923
Spokane Valley,Washington,Cities,2017,1.436929077,0.4329,0.953
Tacoma,Washington,Cities,2017,0.37470024,0.4433,0.891
Vancouver,Washington,Cities,2017,0.056534226,0.4206,0.909
Yakima,Washington,Cities,2017,0.741721854,0.4394,0.781
,West Virginia,State,2017,0.170718289,0.4686,0.871
,Wisconsin,State,2017,0.079372159,0.4467,0.924
Appleton,Wisconsin,Cities,2017,0.535762122,0.4773,0.932
Eau Claire,Wisconsin,Cities,2017,0.145587957,0.4406,0.935
Madison,Wisconsin,Cities,2017,0.078170803,0.4624,0.958
Milwaukee,Wisconsin,Cities,2017,0.084009893,0.4697,0.843
,Wyoming,State,2017,0.069047064,0.4326,0.929
,Alabama,State,2016,0.028803354,0.4847,0.851
Birmingham,Alabama,Cities,2016,0.423431773,0.5151,0.847
Hoover,Alabama,Cities,2016,0.350463196,0.4731,0.952
,Alaska,State,2016,0.148343542,0.4081,0.931
Anchorage,Alaska,Cities,2016,0.133735878,0.4018,0.939
 ,Arizona,State,2016,0.309756968,0.4713,0.867
Chandler,Arizona,Cities,2016,0.150420048,0.4118,0.927
Gilbert,Arizona,Cities,2016,0.039077917,0.3805,0.961
Glendale,Arizona,Cities,2016,0.041162766,0.4538,0.835
Mesa,Arizona,Cities,2016,0.104541929,0.4566,0.885
Phoenix,Arizona,Cities,2016,1.102979873,0.4796,0.806
Scottsdale,Arizona,Cities,2016,0.166054341,0.5086,0.969
Tempe,Arizona,Cities,2016,0.055974118,0.4747,0.939
Tucson,Arizona,Cities,2016,0.093692087,0.4706,0.847
Yuma,Arizona,Cities,2016,0.422404325,0.443,0.789
,Arkansas,State,2016,0.036811077,0.4719,0.86
Fort Smith,Arkansas,Cities,2016,0.451604891,0.4798,0.822
Little Rock,Arkansas,Cities,2016,0,0.5391,0.916
,California,State,2016,0.229791598,0.4899,0.824
Alameda,California,Cities,2016,0.376898627,0.4091,0.903
Alhambra,California,Cities,2016,0.116231766,0.4565,0.819
Anaheim,California,Cities,2016,0.028288223,0.4307,0.749
Antioch,California,Cities,2016,0.178428049,0.4102,0.869
Bakersfield,California,Cities,2016,0.211199932,0.4499,0.798
Baldwin Park,California,Cities,2016,0.129198966,0.3581,0.64
Bellflower,California,Cities,2016,0.126893891,0.438,0.744
Berkeley,California,Cities,2016,1.059917979,0.5311,0.971
Buena Park,California,Cities,2016,0.358131984,0.3982,0.763
Burbank,California,Cities,2016,0.094589482,0.4633,0.894
Camarillo,California,Cities,2016,0.146903279,0.4347,0.921
Chico,California,Cities,2016,0.329228946,0.5281,0.908
Chino,California,Cities,2016,0.344506838,0.4011,0.787
Chino Hills,California,Cities,2016,0.126598304,0.3938,0.944
Chula Vista,California,Cities,2016,0.185065235,0.426,0.801
Citrus Heights,California,Cities,2016,0.227761898,0.361,0.891
Clovis,California,Cities,2016,0.094459925,0.4561,0.892
Compton,California,Cities,2016,0,0.4251,0.58
Concord,California,Cities,2016,0.230941549,0.42,0.896
Davis,California,Cities,2016,1.028096406,0.5136,0.974
Downey,California,Cities,2016,0.087180918,0.4253,0.812
Elk Grove,California,Cities,2016,0.058912938,0.4236,0.901
Escondido,California,Cities,2016,0.065403507,0.4379,0.768
