State,Name,CrimeType,NumCrimes
michigan,troy,Race,28
michigan,troy,Religion,9
michigan,troy,Orientation,6
michigan,troy,Disability,0
california,turlock,Race,12
california,turlock,Religion,2
california,turlock,Orientation,6
california,turlock,Disability,0
california,union city,Race,20
california,union city,Religion,1
california,union city,Orientation,5
california,union city,Disability,0
washington,vancouver,Race,82
washington,vancouver,Religion,4
washington,vancouver,Orientation,8
washington,vancouver,Disability,1
california,ventura,Race,18
california,ventura,Religion,3
california,ventura,Orientation,10
california,ventura,Disability,0
virginia,virginia beach,Race,88
virginia,virginia beach,Religion,30
virginia,virginia beach,Orientation,21
virginia,virginia beach,Disability,1
california,visalia,Race,15
california,visalia,Religion,3
california,visalia,Orientation,7
california,visalia,Disability,0
california,vista,Race,18
california,vista,Religion,7
california,vista,Orientation,3
california,vista,Disability,0
michigan,warren,Race,87
michigan,warren,Religion,13
michigan,warren,Orientation,6
michigan,warren,Disability,4
district of columbia,washington,Race,160
district of columbia,washington,Religion,52
district of columbia,washington,Orientation,313
district of columbia,washington,Disability,3
california,west covina,Race,26
california,west covina,Religion,5
california,west covina,Orientation,3
california,west covina,Disability,0
utah,west valley,Race,36
utah,west valley,Religion,11
utah,west valley,Orientation,4
utah,west valley,Disability,0
michigan,westland,Race,27
michigan,westland,Religion,4
michigan,westland,Orientation,1
michigan,westland,Disability,0
kansas,wichita,Race,133
kansas,wichita,Religion,14
kansas,wichita,Orientation,36
kansas,wichita,Disability,0
delaware,wilmington,Race,13
delaware,wilmington,Religion,4
delaware,wilmington,Orientation,4
delaware,wilmington,Disability,0
washington,yakima,Race,27
washington,yakima,Religion,8
washington,yakima,Orientation,6
washington,yakima,Disability,0
new york,yonkers,Race,13
new york,yonkers,Religion,24
new york,yonkers,Orientation,12
new york,yonkers,Disability,1
arizona,yuma,Race,28
arizona,yuma,Religion,11
arizona,yuma,Orientation,5
arizona,yuma,Disability,0
